,Data,Settimana,CASSA,Numero,Importo,Pagamento
20132,2021-07-13 09:23:54,Martedì,2,1,1.0,Contanti
20133,2021-07-13 09:26:10,Martedì,2,2,4.98,Contanti
20134,2021-07-13 09:38:52,Martedì,2,3,18.95,Contanti
20135,2021-07-13 09:40:32,Martedì,2,4,1.49,Contanti
20136,2021-07-13 09:51:20,Martedì,2,5,27.06,Contanti
20137,2021-07-13 09:52:51,Martedì,2,6,5.83,Contanti
20138,2021-07-13 09:57:36,Martedì,2,7,2.0,Contanti
20139,2021-07-13 10:05:40,Martedì,2,8,1.58,Contanti
20140,2021-07-13 10:16:15,Martedì,2,9,18.46,Bancomat
20141,2021-07-13 10:17:46,Martedì,2,10,3.18,Contanti
20142,2021-07-13 10:22:30,Martedì,2,11,14.97,Contanti
20143,2021-07-13 10:24:59,Martedì,2,12,7.53,Contanti
20144,2021-07-13 10:27:28,Martedì,2,13,12.41,Contanti
20145,2021-07-13 10:32:55,Martedì,2,14,2.99,Contanti
20146,2021-07-13 10:37:25,Martedì,2,15,51.49,Contanti
20147,2021-07-13 10:39:57,Martedì,2,16,13.99,Contanti
20148,2021-07-13 10:51:30,Martedì,2,17,5.9,Contanti
20149,2021-07-13 10:52:13,Martedì,2,18,3.28,Contanti
20150,2021-07-13 10:57:42,Martedì,2,19,23.07,Contanti
20151,2021-07-13 11:02:32,Martedì,2,20,19.62,Contanti
20152,2021-07-13 11:04:15,Martedì,2,21,29.21,Contanti
20153,2021-07-13 11:04:53,Martedì,2,22,4.59,Contanti
20154,2021-07-13 11:08:52,Martedì,2,23,41.35,Bancomat
20155,2021-07-13 11:16:19,Martedì,2,24,40.84,Contanti
20156,2021-07-13 11:19:46,Martedì,2,25,10.97,Contanti
20157,2021-07-13 11:58:33,Martedì,2,26,5.29,Contanti
20158,2021-07-13 12:12:48,Martedì,2,27,3.99,Contanti
20159,2021-07-13 12:30:27,Martedì,2,28,51.01,Contanti
20160,2021-07-13 12:36:30,Martedì,2,29,1.29,Contanti
20161,2021-07-13 12:40:49,Martedì,2,30,5.0,Contanti
20162,2021-07-13 12:42:49,Martedì,2,31,4.71,Contanti
20163,2021-07-13 12:53:24,Martedì,2,32,25.2,Bancomat
20164,2021-07-13 12:55:38,Martedì,2,33,28.21,Bancomat
20165,2021-07-13 13:01:54,Martedì,2,34,11.08,Bancomat
20166,2021-07-13 13:06:18,Martedì,2,35,3.98,Bancomat
20167,2021-07-13 13:15:07,Martedì,2,36,6.47,Bancomat
20168,2021-07-13 13:30:26,Martedì,2,37,4.49,Bancomat
20169,2021-07-13 14:12:37,Martedì,2,38,49.95,Bancomat
20170,2021-07-13 14:23:47,Martedì,2,39,15.22,Contanti
20171,2021-07-13 14:31:12,Martedì,2,40,14.12,Bancomat
20172,2021-07-13 14:31:47,Martedì,2,41,7.99,Bancomat
20173,2021-07-13 14:32:01,Martedì,2,42,0.9,Contanti
20174,2021-07-13 14:34:20,Martedì,2,43,4.89,Contanti
20175,2021-07-13 14:34:45,Martedì,2,44,4.49,Contanti
20176,2021-07-13 14:43:02,Martedì,2,45,10.47,Contanti
20177,2021-07-13 14:49:25,Martedì,2,46,12.1,Bancomat
20178,2021-07-13 14:51:20,Martedì,2,47,35.49,Bancomat
20179,2021-07-13 14:52:35,Martedì,2,48,27.96,Bancomat
20180,2021-07-13 14:55:01,Martedì,2,49,1.29,Contanti
20181,2021-07-13 15:06:25,Martedì,2,50,2.0,Contanti
20182,2021-07-13 15:08:12,Martedì,2,51,35.56,Bancomat
